"SubjectId"	"Activity"	"Measurement"	"Mean"
"1"	1	"WALKING"	"tBodyGyro-mean()-X"	-0.0208764064320173
"2"	1	"WALKING"	"tBodyGyro-mean()-Y"	-0.0880722729400576
"3"	1	"WALKING"	"tBodyGyro-mean()-Z"	0.0862641666597983
"4"	1	"WALKING"	"tBodyGyro-std()-X"	-0.686555715201729
"5"	1	"WALKING"	"tBodyGyro-std()-Y"	-0.450979810499568
"6"	1	"WALKING"	"tBodyGyro-std()-Z"	-0.597496136795101
"7"	1	"WALKING"	"tBodyGyroJerk-mean()-X"	-0.0971120197265994
"8"	1	"WALKING"	"tBodyGyroJerk-mean()-Y"	-0.0417164808293948
"9"	1	"WALKING"	"tBodyGyroJerk-mean()-Z"	-0.0471393985477522
"10"	1	"WALKING"	"tBodyGyroJerk-std()-X"	-0.637812687210375
"11"	1	"WALKING"	"tBodyGyroJerk-std()-Y"	-0.634472244550432
"12"	1	"WALKING"	"tBodyGyroJerk-std()-Z"	-0.664591977786455
"13"	1	"WALKING"	"tBodyAccMag-mean()"	-0.453632943768818
"14"	1	"WALKING"	"tBodyAccMag-std()"	-0.497096402038329
"15"	1	"WALKING"	"tGravityAccMag-mean()"	-0.453632943768818
"16"	1	"WALKING"	"tGravityAccMag-std()"	-0.497096402038329
"17"	1	"WALKING"	"tBodyGyroMag-mean()"	-0.475404785802305
"18"	1	"WALKING"	"tBodyGyroMag-std()"	-0.499839593745821
"19"	1	"WALKING"	"tBodyGyroJerkMag-mean()"	-0.639517432642651
"20"	1	"WALKING"	"tBodyGyroJerkMag-std()"	-0.652050770910663
"21"	1	"WALKING"	"fBodyAcc-mean()-X"	-0.531895161258213
"22"	1	"WALKING"	"fBodyAcc-mean()-Y"	-0.406435448904438
"23"	1	"WALKING"	"fBodyAcc-mean()-Z"	-0.596411165253602
"24"	1	"WALKING"	"fBodyAcc-std()-X"	-0.553060616663401
"25"	1	"WALKING"	"fBodyAcc-std()-Y"	-0.390150939647061
"26"	1	"WALKING"	"fBodyAcc-std()-Z"	-0.498583091676081
"27"	1	"WALKING"	"fBodyAcc-meanFreq()-X"	-0.180558714010749
"28"	1	"WALKING"	"fBodyAcc-meanFreq()-Y"	0.0576291646962536
"29"	1	"WALKING"	"fBodyAcc-meanFreq()-Z"	0.0583692776609798
"30"	1	"WALKING"	"fBodyAccJerk-mean()-X"	-0.547348892435764
"31"	1	"WALKING"	"fBodyAccJerk-mean()-Y"	-0.507343617969859
"32"	1	"WALKING"	"fBodyAccJerk-mean()-Z"	-0.695305113832853
"33"	1	"WALKING"	"fBodyAccJerk-std()-X"	-0.543979776127867
"34"	1	"WALKING"	"fBodyAccJerk-std()-Y"	-0.466251676533372
"35"	1	"WALKING"	"fBodyAccJerk-std()-Z"	-0.737861932680115
"36"	1	"WALKING"	"fBodyAccJerk-meanFreq()-X"	-0.0488005965884726
"37"	1	"WALKING"	"fBodyAccJerk-meanFreq()-Y"	-0.21527915818415
"38"	1	"WALKING"	"fBodyAccJerk-meanFreq()-Z"	-0.0964496376997118
"39"	1	"WALKING"	"fBodyGyro-mean()-X"	-0.623219182311527
"40"	1	"WALKING"	"fBodyGyro-mean()-Y"	-0.505309434070029
"41"	1	"WALKING"	"fBodyGyro-mean()-Z"	-0.553529065425648
"42"	1	"WALKING"	"fBodyGyro-std()-X"	-0.708263420861671
"43"	1	"WALKING"	"fBodyGyro-std()-Y"	-0.429825832648703
"44"	1	"WALKING"	"fBodyGyro-std()-Z"	-0.650476162132565
"45"	1	"WALKING"	"fBodyGyro-meanFreq()-X"	-0.0320324102759078
"46"	1	"WALKING"	"fBodyGyro-meanFreq()-Y"	-0.0901517235974063
"47"	1	"WALKING"	"fBodyGyro-meanFreq()-Z"	-0.0180063943472334
"48"	1	"WALKING"	"fBodyAccMag-mean()"	-0.478448523354179
"49"	1	"WALKING"	"fBodyAccMag-std()"	-0.589710231217867
"50"	1	"WALKING"	"fBodyAccMag-meanFreq()"	0.142062162506138
"51"	1	"WALKING"	"fBodyBodyAccJerkMag-mean()"	-0.499075765624092
"52"	1	"WALKING"	"fBodyBodyAccJerkMag-std()"	-0.541823079570029
"53"	1	"WALKING"	"fBodyBodyAccJerkMag-meanFreq()"	0.200055179527839
"54"	1	"WALKING"	"fBodyBodyGyroMag-mean()"	-0.535002770337752
"55"	1	"WALKING"	"fBodyBodyGyroMag-std()"	-0.566576670397695
"56"	1	"WALKING"	"fBodyBodyGyroMag-meanFreq()"	0.0649309438160231
"57"	1	"WALKING"	"fBodyBodyGyroJerkMag-mean()"	-0.645970655298847
"58"	1	"WALKING"	"fBodyBodyGyroJerkMag-std()"	-0.685811262634006
"59"	1	"WALKING"	"fBodyBodyGyroJerkMag-meanFreq()"	0.198031580056455
"60"	1	"WALKING"	"angle(tBodyAccMean,gravity)"	0.0376077057057925
"61"	1	"WALKING"	"angle(tBodyAccJerkMean),gravityMean)"	0.00901810943544669
"62"	1	"WALKING"	"angle(tBodyGyroMean,gravityMean)"	-0.0134509534112392
"63"	1	"WALKING"	"angle(tBodyGyroJerkMean,gravityMean)"	-0.0016303535815562
"64"	1	"WALKING"	"angle(X,gravityMean)"	-0.535773765244957
"65"	1	"WALKING"	"angle(Y,gravityMean)"	0.122790250801441
"66"	1	"WALKING"	"angle(Z,gravityMean)"	-0.0390790177233429
"67"	2	"WALKING"	"tBodyGyro-mean()-X"	-0.0517030657821192
"68"	2	"WALKING"	"tBodyGyro-mean()-Y"	-0.0568420186817881
"69"	2	"WALKING"	"tBodyGyro-mean()-Z"	0.0872599422291391
"70"	2	"WALKING"	"tBodyGyro-std()-X"	-0.710648927815894
"71"	2	"WALKING"	"tBodyGyro-std()-Y"	-0.722943674337748
"72"	2	"WALKING"	"tBodyGyro-std()-Z"	-0.634888927843046
"73"	2	"WALKING"	"tBodyGyroJerk-mean()-X"	-0.0875587491668874
"74"	2	"WALKING"	"tBodyGyroJerk-mean()-Y"	-0.0433986835453642
"75"	2	"WALKING"	"tBodyGyroJerk-mean()-Z"	-0.0557541828188742
"76"	2	"WALKING"	"tBodyGyroJerk-std()-X"	-0.671679103311258
"77"	2	"WALKING"	"tBodyGyroJerk-std()-Y"	-0.783595466728477
"78"	2	"WALKING"	"tBodyGyroJerk-std()-Z"	-0.674611933293046
"79"	2	"WALKING"	"tBodyAccMag-mean()"	-0.535281800541722
"80"	2	"WALKING"	"tBodyAccMag-std()"	-0.552812545643709
"81"	2	"WALKING"	"tGravityAccMag-mean()"	-0.535281800541722
"82"	2	"WALKING"	"tGravityAccMag-std()"	-0.552812545643709
"83"	2	"WALKING"	"tBodyGyroMag-mean()"	-0.614771054893146
"84"	2	"WALKING"	"tBodyGyroMag-std()"	-0.680584887880795
"85"	2	"WALKING"	"tBodyGyroJerkMag-mean()"	-0.746559539039735
"86"	2	"WALKING"	"tBodyGyroJerkMag-std()"	-0.740088733655629
"87"	2	"WALKING"	"fBodyAcc-mean()-X"	-0.57377091142947
"88"	2	"WALKING"	"fBodyAcc-mean()-Y"	-0.432566581302351
"89"	2	"WALKING"	"fBodyAcc-mean()-Z"	-0.630081222124834
"90"	2	"WALKING"	"fBodyAcc-std()-X"	-0.619788102803311
"91"	2	"WALKING"	"fBodyAcc-std()-Y"	-0.464723862913245
"92"	2	"WALKING"	"fBodyAcc-std()-Z"	-0.600678614835099
"93"	2	"WALKING"	"fBodyAcc-meanFreq()-X"	-0.106763418901788
"94"	2	"WALKING"	"fBodyAcc-meanFreq()-Y"	0.105734176023146
"95"	2	"WALKING"	"fBodyAcc-meanFreq()-Z"	0.087210586428
"96"	2	"WALKING"	"fBodyAccJerk-mean()-X"	-0.561682049622185
"97"	2	"WALKING"	"fBodyAccJerk-mean()-Y"	-0.50890379901457
"98"	2	"WALKING"	"fBodyAccJerk-mean()-Z"	-0.715745330403973
"99"	2	"WALKING"	"fBodyAccJerk-std()-X"	-0.595105612895033
"100"	2	"WALKING"	"fBodyAccJerk-std()-Y"	-0.509147543673841
"101"	2	"WALKING"	"fBodyAccJerk-std()-Z"	-0.767087015496689
"102"	2	"WALKING"	"fBodyAccJerk-meanFreq()-X"	0.0868000536209801
"103"	2	"WALKING"	"fBodyAccJerk-meanFreq()-Y"	-0.139776595362185
"104"	2	"WALKING"	"fBodyAccJerk-meanFreq()-Z"	-0.0942651868218543
"105"	2	"WALKING"	"fBodyGyro-mean()-X"	-0.638717694593046
"106"	2	"WALKING"	"fBodyGyro-mean()-Y"	-0.722068978635762
"107"	2	"WALKING"	"fBodyGyro-mean()-Z"	-0.601594889654305
"108"	2	"WALKING"	"fBodyGyro-std()-X"	-0.734588540182119
"109"	2	"WALKING"	"fBodyGyro-std()-Y"	-0.72716774102649
"110"	2	"WALKING"	"fBodyGyro-std()-Z"	-0.683114494539735
"111"	2	"WALKING"	"fBodyGyro-meanFreq()-X"	-0.00576500648245033
"112"	2	"WALKING"	"fBodyGyro-meanFreq()-Y"	-0.0702155008665563
"113"	2	"WALKING"	"fBodyGyro-meanFreq()-Z"	0.0513627291214901
"114"	2	"WALKING"	"fBodyAccMag-mean()"	-0.514569861316887
"115"	2	"WALKING"	"fBodyAccMag-std()"	-0.646662308457285
"116"	2	"WALKING"	"fBodyAccMag-meanFreq()"	0.192199738218212
"117"	2	"WALKING"	"fBodyBodyAccJerkMag-mean()"	-0.509746432970861
"118"	2	"WALKING"	"fBodyBodyAccJerkMag-std()"	-0.518800797709272
"119"	2	"WALKING"	"fBodyBodyAccJerkMag-meanFreq()"	0.193066821118212
"120"	2	"WALKING"	"fBodyBodyGyroMag-mean()"	-0.699742945221854
"121"	2	"WALKING"	"fBodyBodyGyroMag-std()"	-0.725310337688742
"122"	2	"WALKING"	"fBodyBodyGyroMag-meanFreq()"	0.0471324812379801
"123"	2	"WALKING"	"fBodyBodyGyroJerkMag-mean()"	-0.751615078360927
"124"	2	"WALKING"	"fBodyBodyGyroJerkMag-std()"	-0.744194981440397
"125"	2	"WALKING"	"fBodyBodyGyroJerkMag-meanFreq()"	0.124612068599768
"126"	2	"WALKING"	"angle(tBodyAccMean,gravity)"	0.00987176748993709
"127"	2	"WALKING"	"angle(tBodyAccJerkMean),gravityMean)"	0.0140445759570199
"128"	2	"WALKING"	"angle(tBodyGyroMean,gravityMean)"	0.0745850523983444
"129"	2	"WALKING"	"angle(tBodyGyroJerkMean,gravityMean)"	-0.0372927976207285
"130"	2	"WALKING"	"angle(X,gravityMean)"	-0.434486657251656
"131"	2	"WALKING"	"angle(Y,gravityMean)"	0.17228684113245
"132"	2	"WALKING"	"angle(Z,gravityMean)"	-0.0788654586730132
"133"	3	"WALKING"	"tBodyGyro-mean()-X"	-0.0248490682828446
"134"	3	"WALKING"	"tBodyGyro-mean()-Y"	-0.0743565308442815
"135"	3	"WALKING"	"tBodyGyro-mean()-Z"	0.0866875497119062
"136"	3	"WALKING"	"tBodyGyro-std()-X"	-0.699262195705865
"137"	3	"WALKING"	"tBodyGyro-std()-Y"	-0.76302218170088
"138"	3	"WALKING"	"tBodyGyro-std()-Z"	-0.709483440322581
"139"	3	"WALKING"	"tBodyGyroJerk-mean()-X"	-0.0991554609633431
